GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
91.667,-55.3,194.75,2352.109,0.34,8.036,7.398,8.22,318.713,2
94.598,-56.92,194.374,2338.293,0.335,7.854,7.501,8,316.362,4
90.606,-57.525,194.802,2349.537,0.327,7.963,7.466,8.333,318.746,2
61.782,-63.352,201.125,2286.16,0.243,22.466,21.871,27.321,297.207,3
59.25,-65.652,201.115,2274.28,0.242,23.249,22.725,29.151,301.604,3
55.8,-68.318,201.09,2263.72,0.242,24.32,23.796,31.238,306,4
46.8,-73.294,201.03,2250.68,0.242,27.028,26.31,34.273,310.968,4
43.069,-74.206,201.025,2251.14,0.242,27.868,27.017,34.412,312.002,4
38.465,-75.334,200.99,2256.4,0.239,29.34,28.08,34.229,313.287,3
36.98,-76.422,200.845,2257.56,0.229,29.999,28.413,32.961,313.377,4
38.465,-77.502,200.765,2254.32,0.229,29.416,27.579,32.592,313.207,3
39.802,-78.79,200.705,2264,0.231,28.33,25.597,32.568,311.961,3
38.911,-78.562,200.63,2277.32,0.232,27.252,24.147,31.274,309.091,1
37.871,-76.75,200.475,2295.2,0.232,24.537,21.99,28.355,305.654,1
38.911,-76.054,200.435,2301.52,0.233,23.533,21.323,27.859,303.738,3
40.105,-75.316,200.365,2309.4,0.233,22.605,20.64,27.522,301.821,4
43.251,-73.296,200.23,2330.36,0.232,20.87,19.247,26.667,298.373,3
46.413,-70.024,200.13,2350.52,0.232,19.395,18.02,24.371,295.164,3
51.655,-68.456,200.16,2343.16,0.233,19.005,17.878,22.952,292.44,4
58.364,-68.7,200.25,2311.5,0.235,19.012,18.307,23.411,290.215,4
61.04,-69.42,200.29,2303.9,0.236,19.096,18.511,24.204,291.536,4
61.188,-70.212,200.315,2298.1,0.237,19.192,18.748,25.008,292.858,3
55.842,-71.862,200.325,2288.02,0.237,19.51,19.332,26.23,297.184,3
51.832,-72.99,200.325,2278.5,0.237,19.945,19.908,26.658,299.005,3
47.228,-73.35,200.305,2272.9,0.237,20.241,20.189,26.737,300.827,4
36.45,-72.958,200.155,2277,0.223,20.717,19.599,27.137,309.089,4
38.1,-70.022,200.195,2307.96,0.215,20.338,18.556,25.23,306.967,4
42,-66.736,200.27,2320.38,0.216,20.17,18.426,23.177,303.299,3
48.267,-63.91,200.375,2301.6,0.228,19.534,19.206,23.394,295.936,2
49.901,-67.284,200.32,2292.78,0.231,18.989,19.338,26.944,299.377,2
60.891,-60.802,200.535,2377.94,0.223,15.046,14.273,19.777,293.516,2
68.02,-57.722,200.655,2381.06,0.218,13.768,13.253,18.976,293.853,3
70.396,-56.236,200.765,2378.28,0.218,13.475,13.126,18.193,294.106,3
89.406,-55.63,200.79,2360.38,0.224,12.999,12.885,19.2,293.346,3
85.396,-54.974,200.845,2357,0.225,12.181,11.99,18.818,295.064,3
77.376,-49.544,200.805,2378.76,0.243,10.722,10.58,15.646,301.894,3
82.129,-47.68,200.775,2391.5,0.252,9.706,9.459,15.046,307.574,3
82.723,-46.696,200.765,2398.94,0.244,9.454,9.215,14.355,310.418,2
80.792,-48.082,201.11,2375.04,0.242,8.685,8.923,14.291,315.971,2
78.267,-49.474,201.15,2360.72,0.231,8.376,8.568,14.717,315.459,2
84.208,-45.774,201.215,2344.36,0.242,8.002,7.984,12.412,318.326,2
93.75,-45.622,201.3,2346.26,0.251,7.705,7.895,12.932,319.727,2
88.96,-45.22,201.25,2347.2,0.263,8.021,8.14,12.973,319.305,2
88.96,-44.248,201.225,2362.78,0.254,8.122,8.348,12.79,315.899,2
85.396,-43.626,201.285,2392.82,0.251,8.176,8.399,13.75,308.079,2
94.5,-43.186,202.49,2331.98,0.25,7.234,7.744,11.238,331.697,5
91.8,-44.478,202.6,2330.54,0.249,7.638,8.263,11.975,330.048,6
83.168,-52.144,202.84,2323.86,0.251,9.817,10.413,17.872,322.9,3
72.178,-55.376,202.915,2327.28,0.249,10.699,10.687,20.008,318.166,4
66.683,-56.372,203.035,2332.4,0.248,11.022,10.512,19.719,316.573,5
59.851,-55.612,203.435,2348.56,0.244,11.128,9.557,16.107,315.275,5
