UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
100102300505W400,SBRS,1110.8,35.62,-58.41,189.25,2307.90,0.18,0.28,9.97,11.32,11.12,294.66,2
100102300505W400,SBRS,1111.0,35.95,-54.91,189.25,2304.00,0.20,0.28,11.22,13.65,16.18,293.14,4
100102300505W400,SBRS,1111.2,35.23,-53.66,189.25,2282.00,0.22,0.27,13.01,16.48,30.22,295.48,3
100102300505W400,SBRS,1111.4,33.35,-53.04,189.25,2266.00,0.24,0.27,14.70,18.24,40.13,305.55,4
100102300505W400,SBRS,1111.6,32.59,-53.54,189.25,2238.00,0.25,0.28,17.16,19.05,28.72,319.48,5
100102300505W400,SBRS,1111.7,32.78,-53.62,189.25,2238.00,0.23,0.29,17.05,18.73,25.90,324.40,3
100102300505W400,SBRS,1111.9,36.84,-53.74,189.25,2236.00,0.25,0.30,16.95,17.84,21.71,333.30,2
100102300505W400,SBRS,1112.1,50.46,-53.35,189.25,2245.00,0.23,0.30,16.50,16.90,18.14,339.10,4
100102300505W400,SBRS,1112.2,53.65,-52.91,189.25,2256.00,0.25,0.30,16.02,16.53,15.93,340.93,3
100102300505W400,SBRS,1112.5,66.24,-51.04,189.25,2282.00,0.22,0.30,15.50,16.91,18.54,339.54,3
100102300505W400,SBRS,1112.7,127.19,-49.04,189.25,2233.95,0.25,0.31,14.84,16.31,20.64,338.96,1
100102300505W400,SBRS,1112.9,165.87,-46.67,189.25,2187.90,0.29,0.34,14.12,15.40,19.48,335.60,3
100102300505W400,SBRS,1113.1,175.62,-44.92,189.25,2201.95,0.31,0.34,13.43,14.56,16.77,326.40,2
100102300505W400,SWFT,1113.4,84.31,-30.79,189.25,2316.00,0.19,0.30,10.85,10.52,15.19,307.29,4
100102300505W400,SWFT,1113.6,60.54,-25.79,191.25,2358.00,0.19,0.26,9.49,9.24,11.50,299.27,1
100102300505W400,SWFT,1113.8,57.38,-20.54,192.50,2372.00,0.15,0.28,8.78,8.53,7.72,306.22,5
100102300505W400,SWFT,1114.1,83.55,-16.42,191.63,2371.95,0.18,0.34,7.00,6.75,6.79,315.02,2
100102300505W400,SWFT,1114.4,101.21,-14.55,192.38,2353.90,0.17,0.39,6.30,6.06,5.95,319.47,4
100092800505W400,LMNV,1078.4,51.35,68.92,202.47,2308.41,0.20,0.34,2.22,2.64,2.16,375.94,5
100092800505W400,SBRS,1078.7,53.81,64.08,203.43,2336.48,0.18,0.24,3.07,4.14,4.72,266.93,3
